code,current,name,name_short,gender,country_code,country,events,birth_country,other_sports,medal_type,year
1935860,True,WEITZEIL Abbey,WEITZEIL A,Female,USA,United States,"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete', 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935869,True,ALEXY Jack,ALEXY J,Male,USA,United States,"[""Men's 100m Freestyle"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay""]",United States,,Gold,2024
1935869,True,ALEXY Jack,ALEXY J,Male,USA,United States,"[""Men's 100m Freestyle"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay""]",United States,,Silver,2024
1935871,True,ARMSTRONG Hunter,ARMSTRONG H,Male,USA,United States,"[""Men's 100m Backstroke"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay""]",United States,,Gold,2024
1935871,True,ARMSTRONG Hunter,ARMSTRONG H,Male,USA,United States,"[""Men's 100m Backstroke"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 100m Medley Relay""]",United States,,Silver,2024
1935872,True,BACON Phoebe,BACON P,Female,USA,United States,"[""Women's 200m Backstroke""]",United States,,,2024
1935873,True,BERKOFF Katharine,BERKOFF K,Female,USA,United States,"[""Women's 100m Backstroke"", ""Women's 4 x 100m Medley Relay""]",United States,,Bronze,2024
1935873,True,BERKOFF Katharine,BERKOFF K,Female,USA,United States,"[""Women's 100m Backstroke"", ""Women's 4 x 100m Medley Relay""]",United States,,Gold,2024
1935879,True,CONNOLLY Erika,CONNOLLY E,Female,USA,United States,"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",United States,,Silver,2024
1935882,True,CASAS Shaine,CASAS S,Male,USA,United States,"[""Men's 200m Individual Medley""]",United States,,,2024
1935887,True,CURRY Brooks,CURRY B,Male,USA,United States,"[""Men's 4 x 200m Freestyle Relay"", 'Relay Only Athlete']",United States,,Silver,2024
1935893,True,DENIGAN Mariah,DENIGAN M,Female,USA,United States,"[""Women's 10km""]",United States,,,2024
1935895,True,DOUGLASS Kate,DOUGLASS K,Female,USA,United States,"[""Women's 200m Breaststroke"", ""Women's 200m Individual Medley"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay""]",United States,,Gold,2024
1935895,True,DOUGLASS Kate,DOUGLASS K,Female,USA,United States,"[""Women's 200m Breaststroke"", ""Women's 200m Individual Medley"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay""]",United States,,Silver,2024
