code,current,name,name_short,name_tv,gender,function,country_code,country,nickname,medal_type,event,team,year,season
1964547,True,VINCENT Katie,VINCENT K,Katie VINCENT,Female,Athlete,CAN,Canada,Kitkat,Bronze,Women's Canoe Double 500m,MACKENZIE Sloan / VINCENT Katie,2024,Summer
1964548,True,POULIN Pierre-Luc,POULIN PL,Pierre-Luc POULIN,Male,Athlete,CAN,Canada,,,,,2024,Summer
1964553,True,JENSEN Sophia,JENSEN S,Sophia JENSEN,Female,Athlete,CAN,Canada,,,,,2024,Summer
1964556,True,RUSSELL Michelle,RUSSELL M,Michelle RUSSELL,Female,Athlete,CAN,Canada,,,,,2024,Summer
1964559,True,MATVEEV Nicholas,MATVEEV N,Nicholas MATVEEV,Male,Athlete,CAN,Canada,"Nick, Snickers, Fitveev",,,,2024,Summer
1964565,True,FITZPATRICK Connor,FITZPATRICK C,Connor FITZPATRICK,Male,Athlete,CAN,Canada,,,,,2024,Summer
1964567,True,STOTT Courtney,STOTT C,Courtney STOTT,Female,Athlete,CAN,Canada,,,,,2024,Summer
1964570,True,BESHARAH-HREBACKA Toshka,BESHARAH-HREBACKA,Toshka BESHARAH-HREBACKA,Female,Athlete,CAN,Canada,,,,,2024,Summer
1964577,True,McTAVISH Simon,McTAVISH S,Simon McTAVISH,Male,Athlete,CAN,Canada,,,,,2024,Summer
1964579,True,DAVISON Natalie,DAVISON N,Natalie DAVISON,Female,Athlete,CAN,Canada,,,,,2024,Summer
1964582,True,MELANSON Riley,MELANSON R,Riley MELANSON,Female,Athlete,CAN,Canada,,,,,2024,Summer
1964583,True,MACKENZIE Sloan,MACKENZIE S,Sloan MACKENZIE,Female,Athlete,CAN,Canada,,Bronze,Women's Canoe Double 500m,MACKENZIE Sloan / VINCENT Katie,2024,Summer
1964622,True,NETTASINGHE Viren,NETTASINGHE V,Viren NETTASINGHE,Male,Athlete,SRI,Sri Lanka,,,,,2024,Summer
1964623,True,HAMCHO Amre,HAMCHO A,Amre HAMCHO,Male,Athlete,SYR,Syria,Amr,,,,2024,Summer
1964788,True,ADOUL Koceila,ADOUL K,Koceila ADOUL,Male,Athlete,ALG,Algeria,Kocy,,,,2024,Summer
1964846,True,ZIELINSKA Weronika,ZIELINSKA W,Weronika ZIELINSKA,Female,Athlete,POL,Poland,,,,,2024,Summer
1964860,True,PENALBER Giullia,PENALBER G,Giullia PENALBER,Female,Athlete,BRA,Brazil,,,,,2024,Summer
1964877,True,BOUCHIREB Samir,BOUCHIREB S,Samir BOUCHIREB,Male,Athlete,ALG,Algeria,,,,,2024,Summer
1964899,True,CHAABI Houda,CHAABI H,Houda CHAABI,Female,Athlete,ALG,Algeria,,,,,2024,Summer
1964935,True,SANER Harry,SANER H,Harry SANER,Male,Athlete,RSA,South Africa,Hazza,,,,2024,Summer
1964967,True,AZAMATI Benjamin,AZAMATI B,Benjamin AZAMATI,Male,Athlete,GHA,Ghana,,,,,2024,Summer
1964984,True,YEBOAH Rose Amoanimaa,YEBOAH RA,Rose Amoanimaa YEBOAH,Female,Athlete,GHA,Ghana,,,,,2024,Summer
1965086,True,SCHOON Raisa,SCHOON R,Raisa SCHOON,Female,Athlete,NED,Netherlands,,,,,2024,Summer
1965087,True,STAM Katja,STAM K,Katja STAM,Female,Athlete,NED,Netherlands,Kat,,,,2024,Summer
1965088,True,IMMERS Matthew,IMMERS M,Matthew IMMERS,Male,Athlete,NED,Netherlands,,,,,2024,Summer
1965089,True,van de VELDE Steven,van de VELDE S,Steven van de VELDE,Male,Athlete,NED,Netherlands,,,,,2024,Summer
